Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,RML,232.0,253.45,232.0,243.6,138060,49013
2020-08-27,RML,246.9,249.1,232.25,235.25,38083,19640
2020-08-28,RML,235.0,246.0,231.1,233.8,37363,13008
2020-08-31,RML,234.95,238.7,214.0,219.35,42947,21493
2020-09-01,RML,224.65,224.65,212.25,216.0,7227,3740
2020-09-02,RML,217.7,224.35,215.05,220.9,5550,3206
2020-09-03,RML,222.2,227.5,221.15,223.4,6338,2502
2020-09-04,RML,219.7,227.7,214.85,217.6,15081,4779
2020-09-07,RML,219.25,226.0,212.75,214.45,13341,4189
2020-09-08,RML,216.2,227.7,215.2,217.45,29599,7834
2020-09-09,RML,214.1,216.6,212.0,214.85,5453,3805
2020-09-10,RML,216.7,223.95,216.7,221.55,4521,2506
2020-09-11,RML,223.5,223.5,217.0,218.15,4664,1504
2020-09-14,RML,219.0,226.35,218.5,219.4,14584,5234
2020-09-15,RML,223.35,226.7,221.0,223.95,9351,3378
2020-09-16,RML,224.9,227.7,221.0,221.85,32313,7687
2020-09-17,RML,221.95,222.5,218.1,219.5,5799,3166
2020-09-18,RML,221.9,223.95,215.5,216.95,5172,3630
2020-09-21,RML,217.15,219.0,208.0,209.75,12871,11504
2020-09-22,RML,210.7,210.7,196.75,207.15,11727,4393
2020-09-23,RML,210.0,210.7,198.3,203.55,14323,7544
2020-09-24,RML,205.15,205.15,199.3,201.1,5265,2528
2020-09-25,RML,201.75,223.0,198.1,217.3,17680,7461
2020-09-28,RML,217.05,221.7,210.7,212.35,13882,7283
2020-09-29,RML,213.7,215.7,210.1,211.85,2611,1344
2020-09-30,RML,212.5,221.0,211.0,211.25,11118,6454
2020-10-01,RML,213.65,217.0,211.0,212.65,5873,3508
2020-10-05,RML,215.2,216.5,209.0,209.7,3825,2009
2020-10-06,RML,212.4,215.75,211.0,213.1,5596,3110
2020-10-07,RML,212.3,214.05,208.7,210.25,3771,2775
2020-10-08,RML,211.05,214.65,197.7,199.7,32019,28218
2020-10-09,RML,203.0,206.75,198.0,198.65,17762,11617
2020-10-12,RML,198.4,201.65,192.1,197.35,11862,4451
2020-10-13,RML,201.8,221.4,200.05,211.3,193607,31373
2020-10-14,RML,209.95,209.95,200.1,202.2,16146,5759
2020-10-15,RML,202.9,214.8,200.0,202.3,44525,9478
2020-10-16,RML,204.9,212.0,202.5,208.75,21075,6110
2020-10-19,RML,210.0,212.35,205.25,206.5,5192,2175
2020-10-20,RML,206.5,209.95,204.0,205.2,5609,2459
2020-10-21,RML,205.6,217.7,203.9,205.5,37928,10467
2020-10-22,RML,206.9,208.8,202.45,205.2,7124,3875
2020-10-23,RML,205.6,210.7,205.55,207.9,8994,4395
2020-10-26,RML,208.0,208.05,202.0,203.7,4188,2795
2020-10-27,RML,204.1,205.3,200.0,200.9,7604,4827
2020-10-28,RML,202.8,203.7,198.0,200.65,5603,4147
2020-10-29,RML,199.15,202.35,198.05,198.9,2700,1530
2020-10-30,RML,200.75,201.6,192.5,197.55,2564,1654
2020-11-02,RML,195.5,199.85,195.05,196.35,2183,1289
2020-11-03,RML,196.55,199.7,195.1,195.5,1613,1111
2020-11-04,RML,196.0,197.45,194.0,194.8,2876,2019
2020-11-05,RML,195.45,203.85,195.0,198.3,3695,2329
2020-11-06,RML,199.6,203.75,198.15,199.8,6288,3832
2020-11-09,RML,208.0,208.0,200.75,202.7,7830,5018
2020-11-10,RML,205.35,205.35,200.4,202.6,5984,4685
2020-11-11,RML,203.75,211.0,202.5,207.65,13550,8528
2020-11-12,RML,208.45,208.95,204.55,207.4,4240,2173
2020-11-13,RML,207.05,209.5,203.45,205.0,6674,4068
2020-11-14,RML,206.45,209.65,206.45,209.05,1129,887
2020-11-17,RML,207.85,209.1,205.2,206.25,6111,4094
2020-11-18,RML,207.3,222.15,205.5,216.7,44924,20062
2020-11-19,RML,217.0,224.65,214.0,215.7,16734,9833
2020-11-20,RML,213.15,223.8,213.15,218.7,10778,5490
2020-11-23,RML,219.7,222.95,215.0,218.25,10246,5606
2020-11-24,RML,219.4,228.5,217.3,223.5,27133,15583
2020-11-25,RML,223.7,234.6,223.0,227.5,47278,15600
2020-11-26,RML,229.7,241.0,225.2,233.15,70248,26588
2020-11-27,RML,233.7,237.7,231.1,233.65,12143,5462
2020-12-01,RML,233.05,236.0,231.0,233.7,8552,5117
2020-12-02,RML,232.6,235.2,226.5,228.9,9910,6953
2020-12-03,RML,226.55,231.4,215.9,228.25,20907,10265
2020-12-04,RML,227.15,230.9,218.05,221.35,29373,18946
2020-12-07,RML,224.3,237.0,222.55,230.7,38874,17521
2020-12-08,RML,233.65,238.8,229.0,232.9,32327,20522
2020-12-09,RML,232.0,237.0,231.0,231.95,9480,5698
2020-12-10,RML,233.65,236.7,225.1,229.55,7616,5334
2020-12-11,RML,230.4,240.0,230.35,233.5,23439,13084
2020-12-14,RML,233.85,237.8,230.05,233.65,22710,8154
2020-12-15,RML,234.9,243.0,232.95,240.45,34017,24159
2020-12-16,RML,249.0,260.0,244.8,257.35,115042,50554
2020-12-17,RML,259.7,294.85,245.9,275.55,499614,95692
2020-12-18,RML,276.9,284.0,261.15,267.8,151064,44478
2020-12-21,RML,266.3,266.3,234.0,243.3,50447,26166
2020-12-22,RML,240.5,244.45,232.0,239.65,18638,8105
2020-12-23,RML,244.0,255.9,235.65,251.3,23211,9176
2020-12-24,RML,254.0,259.65,245.45,248.85,9740,5265
2020-12-28,RML,245.5,254.8,245.5,252.75,5587,3804
2020-12-29,RML,255.7,284.1,245.15,265.0,118323,36509
2020-12-30,RML,266.7,270.5,258.0,261.5,18667,9579
2020-12-31,RML,262.05,284.0,262.0,268.85,55806,26167
2021-01-01,RML,272.0,276.0,266.5,268.1,12470,6357
2021-01-04,RML,270.6,274.95,264.05,266.55,13618,9693
2021-01-05,RML,266.5,270.45,261.35,267.5,13888,8053
2021-01-06,RML,269.95,272.2,259.85,262.3,19499,10896
2021-01-07,RML,264.8,272.0,261.2,266.7,17371,10092
2021-01-08,RML,269.9,275.1,265.05,266.7,26939,14416
2021-01-11,RML,269.35,273.0,262.0,264.75,11011,6394
2021-01-12,RML,264.65,273.75,263.25,267.8,25725,12660
2021-01-13,RML,272.7,273.2,261.5,263.45,10499,6885
2021-01-14,RML,267.25,273.1,263.1,264.65,13875,7956
2021-01-15,RML,266.85,266.9,258.05,260.05,6665,3789
2021-01-18,RML,260.2,260.2,249.05,254.85,9708,5571
2021-01-19,RML,255.1,261.5,254.2,257.4,4930,3003
2021-01-20,RML,257.7,258.95,254.3,256.35,3867,2386
2021-01-21,RML,260.65,271.2,256.7,263.3,29245,19425
2021-01-22,RML,263.0,269.4,249.75,251.4,18924,11081
2021-01-25,RML,256.5,262.6,244.4,247.0,9877,5220
2021-01-27,RML,248.15,288.8,245.15,284.25,288855,96510
2021-01-28,RML,285.9,291.7,266.85,281.9,90624,36922
2021-01-29,RML,282.9,287.0,271.1,274.0,29104,11698
2021-02-01,RML,279.65,281.0,271.4,274.25,25034,16343
2021-02-02,RML,274.25,284.9,272.0,275.0,15336,7818
2021-02-03,RML,279.0,279.35,270.0,272.55,21119,11390
2021-02-04,RML,275.0,297.0,275.0,286.7,37329,20707
2021-02-05,RML,289.9,294.1,284.0,285.6,13836,7412
2021-02-08,RML,287.5,294.5,286.0,290.35,14685,8432
