Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,57.5,58.6,55.0,55.85,7605186,4248471,55.86281518952988,-29.483152461140733,55.86281518952988
2020-09-06,56.3,61.4,54.0,58.95,33643110,24107530,71.65666313251063,-5.274820321778957,127.51947832204051
2020-09-13,59.4,62.0,57.25,58.75,15460852,7888902,51.02501466284005,-24.07350993440424,76.49446365920046
2020-09-20,59.5,61.5,55.5,60.9,9138191,5650785,61.83702004039968,25.396106097915474,138.33148369960014
2020-09-27,60.8,60.8,55.2,57.95,8198993,5653688,68.95588275291857,24.164751048756283,69.37560094668157
2020-10-04,59.0,59.85,55.05,55.95,7767150,4473168,57.59085378806898,-11.829532568786714,11.78474715861259
2020-10-11,56.3,57.4,54.6,56.55,6994264,5023488,71.82296807784208,16.386633461793984,83.60771523645467
2020-10-18,56.5,65.95,56.35,63.8,20206189,11776386,58.2810840777546,48.56264862972094,141.88879931420928
2020-10-25,63.8,66.75,61.6,63.75,6746793,3211164,47.5954131096063,40.707095009688814,94.29338620460298
2020-11-01,64.3,64.3,59.7,60.0,4201507,2402401,57.179507257752995,-9.014215649226898,37.11387894684999
2020-11-08,60.8,61.7,58.0,60.2,19111531,14777428,77.32205232537362,5.614280736654646,114.4359312722236
2020-11-15,60.5,64.3,58.65,63.95,8118348,5339768,65.77407127657006,63.23935203205686,180.21000254879365
2020-11-22,63.65,64.3,59.8,63.2,5892269,3317721,56.306339713954,92.01814788585571,123.90366283483965
2020-11-29,63.0,63.85,60.4,61.9,5387040,2977539,55.27226454602157,84.80872207550503,68.63139828881808
2020-12-06,62.25,73.4,61.8,68.95,26619733,10269066,38.57689331444459,93.78782655386713,107.20829160326267
2020-12-13,68.25,69.35,64.0,67.95,12762108,6532873,51.189607547593226,118.18661145972946,56.01868405566944
2020-12-20,68.35,72.4,66.0,68.8,12879886,5135719,39.873947642083166,113.202368004469,95.8926316977526
2020-12-27,69.95,70.9,64.0,68.3,14856789,8833805,59.459719055039415,127.85186400353656,36.43291264271319
2021-01-03,69.0,70.3,66.0,66.8,6588333,3240506,49.18552234685162,96.9679313671413,-12.752609704138429
2021-01-10,67.25,68.8,66.8,67.05,7863097,4334623,55.126154491035784,55.623315498864464,42.373544786897355
2021-01-17,67.6,76.0,66.0,75.05,43458474,13701708,31.528276855740494,81.16121975201425,73.90182164263786
2021-01-24,75.75,79.1,71.4,74.05,25581342,7829785,30.60740519398865,71.62124930193983,43.2944164486492
2021-01-31,74.75,76.2,71.0,72.25,11102587,4070719,36.664598980399795,52.583861369809156,6.629817468249406
2021-02-07,71.5,73.65,69.25,70.8,11279697,4478458,39.70370835315878,40.8532202654667,-33.073890884909375
2021-02-14,70.85,77.9,70.0,74.65,19837544,8333142,42.006923840975475,48.29748524994339,8.9330329560661
2021-02-21,75.45,77.8,72.0,73.95,17241932,5931548,34.40187561347533,37.02790530759807,-25.468842657409233
2021-02-28,73.95,75.4,71.05,71.9,11425628,3767049,32.97017021733948,16.942629198184466,-58.43901287474871
2021-03-07,72.5,92.4,71.9,81.2,83987470,19156624,22.80890709054577,14.828632931255829,-35.63010578420294
2021-03-14,81.85,91.0,81.5,85.6,59971898,13555817,22.60361511319852,11.735506652607583,-13.02649067100442
2021-03-21,85.5,88.85,80.2,84.8,27021253,8869681,32.82483236436149,13.822634722017842,-45.85132303536591
2021-03-28,85.5,88.15,81.1,87.5,24859523,9642378,38.787461851138495,45.45779864315912,-7.063861184227413
2021-04-04,89.0,92.8,86.6,90.7,24006252,7772290,32.37610769061326,55.90170434980863,25.312246506385847
2021-04-11,90.0,102.4,85.0,100.45,69765387,17640298,25.285171857500053,75.51951010131728,50.5974183638859
2021-04-18,97.85,103.7,86.7,99.85,57563132,11308278,19.645001248368487,86.26648137248355,30.952417115517413
2021-04-25,95.2,104.7,94.15,102.5,35181819,7001264,19.900233128935145,97.86709120593862,50.85265024445256
2021-05-02,104.1,111.5,103.6,109.6,41308776,11532035,27.91667078201494,112.35548996622482,78.76932102646751
2021-05-09,109.6,120.95,106.5,116.8,61892642,17501821,28.27770868142937,124.39063933582969,107.04702970789688
2021-05-16,117.7,125.5,110.1,114.15,23699274,5628196,23.74838992958181,113.13328566791107,83.29863977831508
2021-05-23,115.0,119.45,111.4,117.1,18099101,6689497,36.96038272840181,128.5143145051962,120.25902250671689
2021-05-30,118.0,119.5,114.2,116.15,17391822,7098332,40.81419416551066,117.73320661241986,79.44482834120623
2021-06-06,117.0,147.8,116.05,135.1,82625424,23966648,29.006384281913032,123.53448346880245,108.45121262311926
2021-06-13,136.4,156.7,136.4,153.55,46709344,14757509,31.594340096063007,145.32368353505285,140.04555271918227
2021-06-20,156.95,168.3,145.3,157.95,32402060,15162482,46.79480872512426,150.00316440756518,186.84036144430652
2021-06-27,154.0,164.5,151.5,153.85,12404011,5580210,44.98714165925845,121.28060473280783,141.85321978504808
2021-07-04,154.1,177.0,148.25,168.3,26917708,11464158,42.58965139231022,138.09425841290252,184.4428711773583
2021-07-11,169.65,174.4,162.6,167.8,18673862,10838980,58.04359055454089,131.20773071999102,126.39928062281743
2021-07-18,168.0,195.3,167.1,194.05,25051492,10373359,41.408148464770086,168.9449440371751,167.8074290875875
2021-07-25,191.5,246.4,189.25,240.75,36493712,10969008,30.05725479501784,193.05911958138452,197.86468388260533
2021-08-01,240.95,258.3,232.45,253.45,22891951,9242365,40.37386328495985,218.2830225621234,238.23854716756517
