Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,ASTRAMICRO,124.4,125.2,120.8,121.3,585625,251473
2020-08-27,ASTRAMICRO,121.85,130.9,121.1,128.8,2361650,965765
2020-08-28,ASTRAMICRO,130.0,134.9,127.0,128.55,3070269,1174207
2020-08-31,ASTRAMICRO,129.0,130.0,119.0,124.8,1232768,566266
2020-09-01,ASTRAMICRO,124.0,124.9,118.35,122.1,524545,139995
2020-09-02,ASTRAMICRO,122.5,123.7,121.2,121.55,290200,78375
2020-09-03,ASTRAMICRO,121.1,124.15,119.1,119.9,390529,151144
2020-09-04,ASTRAMICRO,116.75,123.25,116.6,121.5,1322468,816013
2020-09-07,ASTRAMICRO,121.95,122.8,119.0,119.55,422653,293916
2020-09-08,ASTRAMICRO,120.0,123.6,118.1,118.85,609463,336127
2020-09-09,ASTRAMICRO,118.0,119.25,110.8,114.7,954094,428620
2020-09-10,ASTRAMICRO,115.0,122.5,115.0,121.95,918184,502217
2020-09-11,ASTRAMICRO,121.65,124.0,121.05,122.2,605153,243290
2020-09-14,ASTRAMICRO,123.55,124.5,119.25,122.0,390757,170644
2020-09-15,ASTRAMICRO,124.5,128.4,122.55,126.85,1889961,814538
2020-09-16,ASTRAMICRO,126.95,127.65,123.05,125.1,563367,251289
2020-09-17,ASTRAMICRO,125.45,125.45,121.6,123.5,352962,168661
2020-09-18,ASTRAMICRO,122.0,127.25,118.9,122.7,1036886,409024
2020-09-21,ASTRAMICRO,122.5,125.7,120.15,121.2,675747,384377
2020-09-22,ASTRAMICRO,121.0,121.85,113.5,119.95,623197,335693
2020-09-23,ASTRAMICRO,121.0,123.4,116.0,118.1,307912,100277
2020-09-24,ASTRAMICRO,116.1,117.0,114.35,115.0,291751,129098
2020-09-25,ASTRAMICRO,116.75,118.15,114.0,116.8,234658,93599
2020-09-28,ASTRAMICRO,119.0,121.45,117.7,120.1,247504,94913
2020-09-29,ASTRAMICRO,122.1,124.4,117.8,118.7,343390,130840
2020-09-30,ASTRAMICRO,119.0,119.8,116.45,116.85,291206,125332
2020-10-01,ASTRAMICRO,117.9,118.75,113.0,114.2,743189,427235
2020-10-05,ASTRAMICRO,114.95,116.7,112.35,112.9,291850,154923
2020-10-06,ASTRAMICRO,113.6,116.8,112.35,115.95,768213,586939
2020-10-07,ASTRAMICRO,116.0,116.0,112.9,113.3,214505,110531
2020-10-08,ASTRAMICRO,114.05,119.0,113.7,116.75,346018,210363
2020-10-09,ASTRAMICRO,116.0,116.7,113.4,114.05,153225,75424
2020-10-12,ASTRAMICRO,113.75,114.85,111.05,111.9,147768,84985
2020-10-13,ASTRAMICRO,111.0,117.8,111.0,116.85,541390,185894
2020-10-14,ASTRAMICRO,117.8,117.8,111.3,112.25,389331,186281
2020-10-15,ASTRAMICRO,112.1,113.5,109.2,109.95,137284,67278
2020-10-16,ASTRAMICRO,110.05,112.0,108.35,109.95,120287,42507
2020-10-19,ASTRAMICRO,110.3,112.4,109.65,111.0,125827,55304
2020-10-20,ASTRAMICRO,110.75,111.45,110.1,110.4,68425,39178
2020-10-21,ASTRAMICRO,111.0,112.1,107.85,108.2,258631,139649
2020-10-22,ASTRAMICRO,108.5,110.0,107.55,108.1,119813,52704
2020-10-23,ASTRAMICRO,108.65,109.6,106.3,107.55,124906,69050
