Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2021-06-27,131.5,132.65,115.3,124.05,186661,91171,48.8430898795142
2021-07-04,127.7,140.8,115.1,120.05,531297,344034,64.75361238629242
2021-07-11,118.65,126.0,116.6,119.8,137833,95915,69.58783455340884
2021-07-18,120.1,128.5,118.2,127.55,122702,91059,74.21150429495852
2021-07-25,127.9,140.0,124.2,134.2,312043,191084,61.23643215838843
2021-08-01,134.2,135.0,117.6,133.0,202794,143626,70.82359438642169
2021-08-08,134.25,193.5,133.05,178.9,1739341,815471,46.88390603107729
2021-08-15,183.8,185.0,148.0,172.4,545044,317102,58.17915617821681
2021-08-22,173.0,174.05,154.0,158.3,151730,94851,62.51301654254268
2021-08-29,160.75,184.9,148.05,174.05,304247,187100,61.49608706084201
2021-09-05,178.0,191.0,166.4,186.9,405747,223726,55.13928630402689
2021-09-12,194.0,218.7,190.8,194.25,472921,273355,57.80140869193797
2021-09-19,205.0,255.95,201.2,240.5,693641,463528,66.8253462526004
2021-09-26,240.0,290.9,226.05,276.4,752748,460223,61.139053175830426
2021-10-03,274.0,288.8,262.6,273.75,205028,132036,64.39900891585539
2021-10-10,278.95,282.0,260.7,271.8,205383,136466,66.44464244849866
2021-10-17,277.0,288.0,258.25,286.1,201663,149204,73.98679975999563
2021-10-24,299.95,312.85,265.05,273.4,280153,174333,62.22778267589496
2021-10-31,282.95,298.5,261.6,284.85,175526,116540,66.39472214942515
2021-11-07,285.0,321.1,284.85,321.1,119701,100661,84.09370013617263
2021-11-14,337.15,366.65,326.0,366.65,572904,373829,65.25159538072697
2021-11-21,383.8,413.4,368.55,380.95,337038,213673,63.39730238133385
2021-11-28,379.5,393.7,343.9,352.0,257633,164494,63.848187149938084
2021-12-05,337.25,362.15,326.1,362.15,169400,114211,67.42089728453364
2021-12-12,376.95,392.0,346.0,380.0,322612,150106,46.528337445600286
2021-12-19,387.3,447.0,360.85,412.25,518858,267344,51.52546554163181
2021-12-26,410.75,411.7,358.05,365.55,353450,188603,53.360588484934226
2022-01-02,365.55,387.7,348.2,377.1,314413,185166,58.89260304122285
2022-01-09,384.0,409.5,377.5,379.2,150975,82385,54.56863719158801
