Date,Symbol,Open,High,Low,Close,Deliverable Volume
2021-03-25,LXCHEM,155.5,174.6,143.25,164.45,22535458
2021-03-26,LXCHEM,173.45,194.4,172.0,186.6,4667159
2021-03-30,LXCHEM,190.3,191.95,171.1,175.05,2761811
2021-03-31,LXCHEM,171.1,179.5,170.95,174.5,883481
2021-04-01,LXCHEM,176.8,186.8,171.45,180.85,1487755
2021-04-05,LXCHEM,180.0,181.8,171.5,172.9,967300
2021-04-06,LXCHEM,174.7,194.0,172.45,190.05,2222987
2021-04-07,LXCHEM,194.4,209.0,192.1,200.25,2275147
2021-04-08,LXCHEM,202.95,206.5,197.25,198.95,879206
2021-04-09,LXCHEM,198.75,202.85,192.3,194.0,684625
2021-04-12,LXCHEM,186.0,187.85,175.65,181.25,1067934
2021-04-13,LXCHEM,184.0,192.0,182.55,188.25,424817
2021-04-15,LXCHEM,190.5,195.6,183.55,191.6,600246
2021-04-16,LXCHEM,193.1,196.0,190.0,190.9,484821
2021-04-19,LXCHEM,185.0,187.0,182.3,185.45,458674
2021-04-20,LXCHEM,188.45,192.4,184.0,185.9,326853
2021-04-22,LXCHEM,184.95,186.75,181.25,182.05,1035257
2021-04-23,LXCHEM,181.8,184.2,178.2,179.2,880660
2021-04-26,LXCHEM,181.0,193.6,178.45,191.45,1375709
2021-04-27,LXCHEM,192.9,199.75,191.05,195.05,1033856
2021-04-28,LXCHEM,196.6,214.4,196.05,210.05,2426173
2021-04-29,LXCHEM,212.0,217.9,208.25,209.6,1289101
2021-04-30,LXCHEM,206.0,215.0,204.5,207.85,606002
2021-05-03,LXCHEM,205.4,214.85,205.05,212.05,713783
2021-05-04,LXCHEM,214.0,237.85,214.0,219.45,3184620
2021-05-05,LXCHEM,222.7,227.5,219.2,223.25,995719
2021-05-06,LXCHEM,224.9,226.0,219.1,220.65,554734
2021-05-07,LXCHEM,223.0,225.7,218.25,219.5,752788
2021-05-10,LXCHEM,221.7,231.5,219.25,226.15,936732
2021-05-11,LXCHEM,224.0,233.7,223.2,227.8,924494
