Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2021-07-25,1755.0,1779.0,1555.05,1635.4,23345084,10056766,43.07873126522055,-12.166687888033888,43.07873126522055
2021-08-01,1635.0,1726.85,1600.0,1682.0,3303418,1267431,38.36726081894571,-0.9302374392846762,81.44599208416625
2021-08-08,1693.5,1709.9,1600.1,1656.95,1218663,561973,46.113896951002864,0.7076878622537124,35.332095133163385
2021-08-15,1664.9,1681.0,1435.6,1612.35,2264852,1042548,46.03161707696574,20.984859035929304,-10.699521943802353
2021-08-22,1620.0,1621.55,1470.0,1544.1,2598314,1610208,61.97126290355976,19.614989483128685,-72.67078484736211
2021-08-29,1545.0,1563.35,1422.1,1436.85,1843436,966828,52.44706081469603,-21.87852588708216,-125.11784566205814
2021-09-05,1474.0,1649.5,1456.0,1620.45,3645023,1662642,45.61403316247936,10.039510754776806,-79.50381249957879
2021-09-12,1626.8,1680.0,1592.1,1656.9,1510530,559988,37.072285886410725,27.626704400548544,-42.43152661316806
2021-09-19,1660.0,1983.6,1647.8,1881.8,5263063,1823030,34.63819452664731,41.263301531051155,-7.793332086520749
2021-09-26,1855.0,2219.0,1805.2,2049.65,5698825,1644257,28.852561712282792,46.4997137702789,21.059229625762043
2021-10-03,2057.8,2128.7,1967.0,2096.5,2336752,733186,31.37628640095312,65.37981684271395,52.43551602671516
2021-10-10,2107.0,2303.0,2104.45,2260.25,2955097,926114,31.339546552955795,83.22386488004287,83.77506257967096
2021-10-17,2266.0,2353.9,2135.0,2146.75,1370666,582095,42.46804108367757,45.31497850384096,41.30702149599339
2021-10-24,2167.0,2206.0,1955.05,2029.85,1322766,496239,37.515252130762356,30.163869504228412,3.7917693652310334
2021-10-31,2047.0,2194.05,1925.05,2073.85,1455588,526934,36.200765601255306,34.012724136926884,39.99253496648634
2021-11-07,2087.95,2119.25,2011.15,2070.2,428687,191396,44.64702685175897,38.14288388269534,-4.654491885272634
2021-11-14,2088.9,2150.0,1916.1,2018.55,1064082,515987,48.49128168693766,32.13071129218148,-53.145773572210295
2021-11-21,2043.0,2225.9,2010.95,2139.15,1702793,717281,42.123793085830165,40.25367581140763,-11.02198048638013
2021-11-28,2156.0,2235.0,2040.0,2122.8,1598514,673655,42.14257741877769,33.89987183134584,-53.16455790515782
2021-12-05,2092.0,2500.0,1958.7,2472.25,3910824,1476505,37.754319805749375,67.78320558644106,-15.410238099408446
2021-12-12,2489.0,2660.6,2422.0,2448.55,3610040,905080,25.071190346921362,48.291563468444814,-40.48142844632981
2021-12-19,2462.8,2517.4,2341.0,2387.8,2068766,954147,46.12155265506104,26.642671405865226,-86.60298110139084
2021-12-26,2336.6,2513.9,2254.8,2400.7,1525443,498799,32.69863246283211,30.769438219970162,-53.90434863855873
2022-01-02,2400.7,2538.85,2350.0,2493.35,1038224,282289,27.189604555471654,44.85735352710758,-26.714744083087076
2022-01-09,2505.0,2705.0,2471.65,2623.75,1882329,514718,27.344741540931473,53.15979594482771,0.6299974578443965
