Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,DWARKESH,32.25,32.25,31.05,31.4,1031092,677169
2020-08-27,DWARKESH,31.4,32.6,30.4,32.3,1912093,960027
2020-08-28,DWARKESH,32.45,32.95,31.0,31.65,1800269,840644
2020-08-31,DWARKESH,31.95,32.05,28.95,29.35,1313774,804828
2020-09-01,DWARKESH,29.35,31.5,27.25,31.0,1867249,664214
2020-09-02,DWARKESH,31.1,31.45,30.0,30.75,855502,366273
2020-09-03,DWARKESH,31.25,31.95,30.9,31.1,880739,482089
2020-09-04,DWARKESH,30.3,31.25,30.1,30.25,777295,397547
2020-09-07,DWARKESH,30.05,30.45,29.0,29.1,671371,434066
2020-09-08,DWARKESH,29.8,30.2,28.8,28.95,498889,231872
2020-09-09,DWARKESH,28.45,28.85,28.15,28.65,439501,279476
2020-09-10,DWARKESH,28.85,29.55,28.8,29.05,348616,137491
2020-09-11,DWARKESH,29.15,29.8,28.9,29.4,330881,142946
2020-09-14,DWARKESH,29.75,30.15,29.0,29.15,639592,281331
2020-09-15,DWARKESH,30.1,30.4,29.55,29.9,934185,360690
2020-09-16,DWARKESH,30.05,30.9,29.4,29.85,1013104,395184
2020-09-17,DWARKESH,29.55,31.2,29.3,30.1,1150908,394099
2020-09-18,DWARKESH,30.25,30.6,29.6,29.75,523973,305985
2020-09-21,DWARKESH,29.6,29.85,28.35,28.55,502284,313323
2020-09-22,DWARKESH,28.1,28.8,27.05,28.3,623361,255040
2020-09-23,DWARKESH,28.3,28.9,27.4,27.65,428805,241716
2020-09-24,DWARKESH,27.1,27.3,25.85,26.05,697666,478323
2020-09-25,DWARKESH,26.3,26.8,25.85,26.4,1002310,522457
2020-09-28,DWARKESH,26.5,28.4,26.5,27.95,677112,446097
2020-09-29,DWARKESH,28.05,28.2,27.3,27.65,390594,230112
2020-09-30,DWARKESH,27.6,28.3,27.6,27.95,362927,139381
2020-10-01,DWARKESH,28.05,28.3,27.25,27.55,246254,134376
2020-10-05,DWARKESH,27.75,28.35,27.25,27.45,516049,274653
2020-10-06,DWARKESH,28.25,28.5,27.55,27.75,608537,307009
2020-10-07,DWARKESH,27.7,28.1,27.3,27.45,263632,119396
2020-10-08,DWARKESH,27.85,29.55,27.55,29.15,1840257,1079155
2020-10-09,DWARKESH,29.1,30.7,28.8,30.1,934050,611231
2020-10-12,DWARKESH,30.35,30.5,28.35,28.65,656288,381484
2020-10-13,DWARKESH,28.4,29.1,28.05,28.4,528774,288517
2020-10-14,DWARKESH,28.25,28.4,27.75,27.9,445927,233993
2020-10-15,DWARKESH,28.05,28.3,27.1,27.15,416175,280661
2020-10-16,DWARKESH,27.0,28.25,26.8,27.7,731326,337662
2020-10-19,DWARKESH,27.9,28.1,27.2,27.35,378866,240742
2020-10-20,DWARKESH,27.4,28.75,27.15,28.55,1038827,460013
2020-10-21,DWARKESH,28.65,28.8,27.55,27.75,380449,203829
2020-10-22,DWARKESH,27.7,28.4,27.65,28.25,303231,187654
2020-10-23,DWARKESH,28.2,28.55,27.75,27.95,331347,150310
2020-10-26,DWARKESH,28.3,28.6,27.75,27.9,304618,163002
2020-10-27,DWARKESH,28.0,28.2,27.5,28.05,209214,114243
2020-10-28,DWARKESH,28.45,29.3,28.25,28.55,937552,446728
2020-10-29,DWARKESH,28.2,29.2,27.8,28.9,914846,349784
2020-10-30,DWARKESH,28.8,29.25,27.8,28.05,428541,223032
2020-11-02,DWARKESH,28.3,29.2,27.1,28.25,1092541,322631
2020-11-03,DWARKESH,28.5,28.65,27.6,27.85,664884,296629
2020-11-04,DWARKESH,27.95,28.25,27.35,27.45,403984,241495
2020-11-05,DWARKESH,27.7,27.95,27.5,27.6,251135,146678
2020-11-06,DWARKESH,27.65,28.1,27.55,27.6,459145,219098
2020-11-09,DWARKESH,28.2,28.6,27.7,28.05,489681,288747
2020-11-10,DWARKESH,28.25,28.3,27.6,27.8,295006,169812
2020-11-11,DWARKESH,27.8,28.2,27.3,27.45,445413,241313
2020-11-12,DWARKESH,27.7,27.8,27.15,27.35,339601,191093
2020-11-13,DWARKESH,27.5,27.6,27.1,27.3,329359,158731
2020-11-14,DWARKESH,27.4,27.55,27.2,27.4,95197,51018
2020-11-17,DWARKESH,27.65,28.3,27.6,28.1,708886,453671
2020-11-18,DWARKESH,28.1,28.6,27.8,28.15,616356,379566
2020-11-19,DWARKESH,28.0,28.25,27.8,27.9,506771,240811
2020-11-20,DWARKESH,27.7,29.5,27.7,28.95,1596569,739697
2020-11-23,DWARKESH,29.55,30.0,29.3,29.65,1521257,752328
2020-11-24,DWARKESH,29.75,30.15,28.85,28.95,684489,396423
2020-11-25,DWARKESH,29.2,29.5,28.3,28.75,723629,349876
2020-11-26,DWARKESH,29.9,30.6,29.3,29.75,2870063,1177404
2020-11-27,DWARKESH,29.75,30.1,29.3,29.45,1030546,513253
2020-12-01,DWARKESH,29.45,30.6,28.95,30.4,1396102,777716
2020-12-02,DWARKESH,30.3,30.3,29.15,29.45,1242959,716757
2020-12-03,DWARKESH,29.65,31.6,29.05,30.55,3207233,1398330
2020-12-04,DWARKESH,30.5,30.8,29.6,30.0,855120,419842
2020-12-07,DWARKESH,30.0,30.4,29.4,29.75,1115366,656557
2020-12-08,DWARKESH,29.8,30.15,29.0,29.35,961970,594553
2020-12-09,DWARKESH,29.5,31.6,29.5,31.15,4868186,2173301
2020-12-10,DWARKESH,31.15,32.0,30.35,31.65,2999739,1247518
2020-12-11,DWARKESH,31.65,33.05,31.0,31.5,3705698,1605907
2020-12-14,DWARKESH,31.85,32.75,31.55,32.3,1784662,903460
2020-12-15,DWARKESH,32.4,34.55,31.55,34.0,5059722,2341016
2020-12-16,DWARKESH,34.5,35.4,33.0,33.4,5029009,2559255
2020-12-17,DWARKESH,34.45,34.75,32.5,32.65,1920866,1156126
2020-12-18,DWARKESH,32.65,32.75,31.05,31.5,1033006,591069
2020-12-21,DWARKESH,31.5,33.0,28.25,28.85,1930242,1077352
2020-12-22,DWARKESH,28.9,29.7,28.1,29.3,1126094,477160
2020-12-23,DWARKESH,29.65,31.8,29.5,31.45,1194426,623119
2020-12-24,DWARKESH,31.55,32.15,30.7,31.35,1198722,495166
2020-12-28,DWARKESH,31.65,31.8,31.2,31.4,590553,323780
2020-12-29,DWARKESH,31.4,31.7,30.75,30.95,591715,329180
2020-12-30,DWARKESH,31.15,31.75,30.55,31.1,631807,245419
2020-12-31,DWARKESH,31.2,31.65,30.85,31.0,701857,445211
2021-01-01,DWARKESH,31.2,31.6,31.0,31.1,491783,217950
2021-01-04,DWARKESH,31.45,31.95,31.05,31.35,1255586,668152
2021-01-05,DWARKESH,30.95,31.75,30.7,31.1,1331500,729796
2021-01-06,DWARKESH,31.3,33.85,31.3,32.25,4121793,1821757
2021-01-07,DWARKESH,32.5,33.35,31.95,32.15,1242611,611966
2021-01-08,DWARKESH,32.7,33.15,31.6,31.8,1051712,598024
2021-01-11,DWARKESH,32.0,32.1,31.25,31.65,815356,349259
2021-01-12,DWARKESH,31.5,32.15,31.3,31.55,1268605,547404
2021-01-13,DWARKESH,31.7,31.85,30.8,31.0,1839191,961779
2021-01-14,DWARKESH,31.05,31.4,30.8,31.0,580652,226220
2021-01-15,DWARKESH,31.4,31.6,30.1,30.5,1351701,653611
2021-01-18,DWARKESH,30.7,31.45,29.7,30.7,1157572,471275
2021-01-19,DWARKESH,30.95,31.4,30.7,30.95,650518,265613
2021-01-20,DWARKESH,30.95,31.65,30.85,31.1,794755,403180
2021-01-21,DWARKESH,31.1,31.85,31.05,31.2,1208744,483559
2021-01-22,DWARKESH,31.25,31.45,30.2,30.35,560016,295673
2021-01-25,DWARKESH,30.65,30.7,29.6,29.8,680331,381170
2021-01-27,DWARKESH,29.7,29.75,29.05,29.2,446640,273215
2021-01-28,DWARKESH,28.9,29.6,28.6,28.95,335438,180410
2021-01-29,DWARKESH,29.2,30.0,28.8,29.0,1017199,259563
2021-02-01,DWARKESH,29.2,29.2,27.5,28.2,1471341,901943
2021-02-02,DWARKESH,28.5,29.25,27.35,27.55,1471443,820641
2021-02-03,DWARKESH,27.85,28.3,27.7,27.85,1108269,573856
2021-02-04,DWARKESH,28.0,28.6,27.75,27.9,1035460,525163
2021-02-05,DWARKESH,28.1,28.35,27.65,27.75,952183,478206
2021-02-08,DWARKESH,27.9,28.2,26.9,27.1,1417779,945784
2021-02-09,DWARKESH,27.25,27.3,26.65,26.75,895504,548408
2021-02-10,DWARKESH,26.9,27.3,26.6,27.0,709953,332111
2021-02-11,DWARKESH,27.15,27.2,26.85,27.05,601382,329984
2021-02-12,DWARKESH,27.05,27.25,26.85,26.95,432107,237870
2021-02-15,DWARKESH,27.2,27.25,26.7,26.75,610525,463597
2021-02-16,DWARKESH,26.75,27.05,26.05,26.3,990699,676380
2021-02-17,DWARKESH,26.35,28.25,26.1,27.9,1914899,1137324
2021-02-18,DWARKESH,27.9,29.3,27.55,28.55,2569269,852427
2021-02-19,DWARKESH,28.55,28.85,27.2,27.3,1251301,703060
2021-02-22,DWARKESH,27.3,27.55,26.65,26.85,794635,533767
2021-02-23,DWARKESH,27.7,29.0,26.75,28.6,2881221,1141405
2021-02-24,DWARKESH,29.0,29.4,28.2,29.1,1490072,812024
2021-02-25,DWARKESH,29.35,30.35,28.45,29.95,3474845,1177905
2021-02-26,DWARKESH,29.35,31.7,28.55,29.9,5028766,871084
2021-03-01,DWARKESH,30.15,31.8,29.55,31.45,3387978,1396222
2021-03-02,DWARKESH,31.6,32.95,31.5,32.0,4074549,1967753
2021-03-03,DWARKESH,32.2,35.75,31.55,35.35,8720584,4148516
2021-03-04,DWARKESH,34.0,37.95,34.0,36.8,9862045,3268884
2021-03-05,DWARKESH,36.6,38.7,34.5,35.15,6978231,2223975
2021-03-08,DWARKESH,35.5,37.35,35.25,36.5,4669448,1189397
2021-03-09,DWARKESH,36.75,37.1,34.55,35.35,2973098,890397
2021-03-10,DWARKESH,35.6,35.75,34.5,34.6,1520365,586375
2021-03-12,DWARKESH,35.05,36.0,34.1,34.3,2127302,640462
2021-03-15,DWARKESH,34.3,34.5,32.35,33.1,1099003,570551
2021-03-16,DWARKESH,33.3,34.7,33.1,33.35,1420866,409766
2021-03-17,DWARKESH,32.6,34.8,32.4,32.7,1634480,707925
2021-03-18,DWARKESH,33.05,34.4,31.75,32.2,1749410,637543
2021-03-19,DWARKESH,32.0,32.4,30.0,31.95,1392888,708737
2021-03-22,DWARKESH,31.75,32.2,31.1,31.6,1357437,402106
2021-03-23,DWARKESH,31.6,32.8,31.6,32.0,990357,361754
2021-03-24,DWARKESH,31.85,32.4,31.1,31.25,1490138,467935
2021-03-25,DWARKESH,31.4,33.9,31.0,32.05,3866714,1227098
2021-03-26,DWARKESH,32.6,32.8,31.7,32.2,1412374,518702
2021-03-30,DWARKESH,32.3,32.6,31.0,31.1,1278638,635563
2021-03-31,DWARKESH,31.0,31.55,30.6,30.8,1075385,490070
2021-04-01,DWARKESH,31.7,31.9,31.05,31.6,1061538,494819
2021-04-05,DWARKESH,31.4,31.8,30.05,30.75,958289,348545
2021-04-06,DWARKESH,30.85,31.15,30.1,30.45,693920,298186
2021-04-07,DWARKESH,30.7,31.8,30.45,31.05,899237,438105
2021-04-08,DWARKESH,31.2,33.45,31.2,32.9,2783589,1081484
2021-04-09,DWARKESH,33.65,34.4,33.15,33.65,2259388,1056189
2021-04-12,DWARKESH,32.6,32.6,30.6,30.65,1658069,982215
2021-04-13,DWARKESH,30.7,32.15,30.55,31.7,1485417,450276
2021-04-15,DWARKESH,32.0,34.6,31.75,34.3,6021947,1879461
2021-04-16,DWARKESH,35.0,36.0,34.15,34.65,3882433,1398259
2021-04-19,DWARKESH,33.9,34.15,32.0,33.05,1980180,863063
2021-04-20,DWARKESH,33.65,34.25,32.7,33.0,1584278,446904
2021-04-22,DWARKESH,32.6,35.4,32.6,34.75,2312534,946975
2021-04-23,DWARKESH,35.1,37.95,34.5,36.3,7593611,2555898
2021-04-26,DWARKESH,37.05,38.15,35.7,36.05,2762245,1202520
2021-04-27,DWARKESH,35.9,37.2,35.6,37.0,1810392,773632
2021-04-28,DWARKESH,37.7,38.45,37.0,37.2,3939446,1572747
2021-04-29,DWARKESH,37.45,40.8,36.3,39.6,9451399,2886800
2021-04-30,DWARKESH,39.3,43.4,38.9,42.0,11885267,4132903
2021-05-03,DWARKESH,42.05,50.4,42.05,50.1,33098992,8607457
2021-05-04,DWARKESH,52.35,56.0,45.6,46.15,23927784,8164877
2021-05-05,DWARKESH,48.05,51.8,47.25,49.6,12436892,3354310
2021-05-06,DWARKESH,50.1,50.5,47.6,49.6,5071113,1807086
2021-05-07,DWARKESH,51.5,52.8,50.1,50.7,9076694,3408632
2021-05-10,DWARKESH,51.4,59.7,50.6,56.95,25572884,6859604
2021-05-11,DWARKESH,55.8,59.35,54.55,55.7,10356408,4415005
2021-05-12,DWARKESH,56.4,58.0,52.15,53.75,8196854,2915179
2021-05-14,DWARKESH,55.2,56.3,50.0,51.1,6341674,2772334
2021-05-17,DWARKESH,51.65,55.8,50.6,55.25,11094615,3419796
2021-05-18,DWARKESH,56.0,56.2,53.45,54.75,4284551,1723111
2021-05-19,DWARKESH,54.2,57.2,54.0,54.9,7838004,2300883
2021-05-20,DWARKESH,55.05,55.1,53.25,53.7,2409607,1121956
2021-05-21,DWARKESH,52.0,53.2,51.1,51.65,3610352,1695753
2021-05-24,DWARKESH,51.8,53.5,50.2,52.55,3818069,1389898
2021-05-25,DWARKESH,52.95,54.45,52.4,53.5,2514449,954343
2021-05-26,DWARKESH,53.95,54.8,53.1,53.3,2613579,1288323
2021-05-27,DWARKESH,53.4,53.7,51.85,53.2,1958670,971064
2021-05-28,DWARKESH,53.8,53.85,51.1,51.8,1974716,1253368
2021-05-31,DWARKESH,52.85,54.9,52.35,53.85,5590981,1975548
2021-06-01,DWARKESH,54.3,56.2,52.2,55.35,5198276,2167773
2021-06-02,DWARKESH,56.5,57.1,55.5,56.0,5753345,2805202
2021-06-03,DWARKESH,57.7,59.2,56.2,56.45,5650576,2519871
