Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2021-09-19,910.0,1346.4,841.0,1215.15,24730667,7336249,29.66458203492854,14.257077515401946,29.66458203492854
2021-09-26,1175.0,1434.45,1166.0,1286.45,8862725,2099540,23.689553720780008,11.825908936495305,53.35413575570855
2021-10-03,1299.0,1332.0,1244.8,1259.85,2378221,698135,29.35534586567018,-7.396456303524998,23.998789890038367
2021-10-10,1263.7,1368.8,1245.0,1250.35,2745600,981378,35.74366258741259,-40.050803950022335,-11.74487269737422
2021-10-17,1260.0,1364.0,1251.25,1342.1,2780192,1513758,54.447966183630484,-6.754242811562804,42.703093486256265
2021-10-24,1360.0,1418.7,1189.0,1199.75,2509957,1148294,45.74954869744781,-48.22161781725995,-3.0464552111915424
2021-10-31,1199.0,1199.0,998.95,1025.2,2398210,966456,40.29905637954975,-77.94481586176164,-43.34551159074129
2021-11-07,1031.3,1077.25,1025.0,1056.05,445296,205262,46.09563077144192,-69.25501752494444,2.7501191807006293
2021-11-14,1063.0,1070.75,1007.35,1018.05,767024,440936,57.486597551054466,-107.33762158084814,-54.73647837035384
2021-11-21,1024.0,1029.0,958.8,966.75,715364,318326,44.49846511705929,-141.75737451327427,-99.23494348741312
2021-11-28,968.95,1028.9,889.95,955.35,1101851,496575,45.067345766351345,-144.40076327179005,-144.30228925376446
2021-12-05,911.2,974.0,864.15,937.95,715438,247756,34.62997492445187,-132.50015741472987,-178.93226417821631
2021-12-12,937.95,1019.0,929.85,996.4,1075523,335957,31.23661697611302,-117.1008381090634,-147.6956472021033
2021-12-19,1000.75,1014.0,897.0,903.6,612227,235503,38.4666145073641,-151.2276294412377,-186.16226170946737
2021-12-26,895.0,983.7,858.0,932.95,1448574,328502,22.677612603843503,-146.86169288584378,-163.48464910562387
2022-01-02,930.75,1109.9,915.65,1068.4,2599204,833245,32.05769920329455,-128.50174932668537,-131.42694990232934
2022-01-09,1074.7,1134.7,1023.45,1071.15,1281618,409993,31.99026543010476,-133.05946354751376,-99.43668447222458
